"Event Bookings","by Space","Tuesday, January 26, 2016 - Wednesday, January 27, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Tuesday, January 26, 2016","101","17:00 - 19:30","#83591: ","*VC* Political Science Comprehensive Exam","Internal","MECS","MAES",8,"17:00 - 19:30","101","#83591: ","*VC* Political Science Comprehensive Exam","Internal","MECS","MAES",8,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:09
"Event Bookings","by Space","Tuesday, January 26, 2016 - Wednesday, January 27, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Tuesday, January 26, 2016","200","09:00 - 16:20","#79678: ","ELC503-VA11611 ELC Full-Time Program","Non-Credit","MECS","LAM5",18,"09:00 - 16:20","200","#79678: ","ELC503-VA11611 ELC Full-Time Program","Non-Credit","MECS","LAM5",18,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:09
"Event Bookings","by Space","Tuesday, January 26, 2016 - Wednesday, January 27, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Tuesday, January 26, 2016","400","09:00 - 15:20","#79679: ","ELC503-VA11611 ELC Full-Time Program","Non-Credit","MECS","LAM5",18,"09:00 - 15:20","400","#79679: ","ELC503-VA11611 ELC Full-Time Program","Non-Credit","MECS","LAM5",18,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:09
"Event Bookings","by Space","Tuesday, January 26, 2016 - Wednesday, January 27, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Tuesday, January 26, 2016","400","16:30 - 22:00","#83533: ","Skillstat Canada","Contract Rcv","MECS","RAM4",0,"16:30 - 22:00","400","#83533: ","Skillstat Canada","Contract Rcv","MECS","RAM4",0,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:09
"Event Bookings","by Space","Tuesday, January 26, 2016 - Wednesday, January 27, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Tuesday, January 26, 2016","1315","18:00 - 21:30","#82041: ","MGMT115-VA11612 Organizational Behaviour","Non-Credit",,"AKMCKENZ",41,"18:00 - 21:30","1315","#82041: ","MGMT115-VA11612 Organizational Behaviour","Non-Credit",,"AKMCKENZ",41,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:09
"Event Bookings","by Space","Tuesday, January 26, 2016 - Wednesday, January 27, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Tuesday, January 26, 2016","1325","11:30 - 14:20","#82614: ","GERO 406: Death and Dying","Credit",,"AKMCKENZ",0,"11:30 - 14:20","1325","#82614: ","GERO 406: Death and Dying","Credit",,"AKMCKENZ",0,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:09
"Event Bookings","by Space","Tuesday, January 26, 2016 - Wednesday, January 27, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Tuesday, January 26, 2016","1325","14:30 - 17:20","#82534: ","ARCH 131: Human Origins","Credit",,"AKMCKENZ",0,"14:30 - 17:20","1325","#82534: ","ARCH 131: Human Origins","Credit",,"AKMCKENZ",0,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:09
"Event Bookings","by Space","Tuesday, January 26, 2016 - Wednesday, January 27, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Tuesday, January 26, 2016","1325","17:30 - 21:20","#82654: ","POL 415 J100: The Liberal Tradition & Its Critics","Credit",,"AKMCKENZ",0,"17:30 - 21:20","1325","#82654: ","POL 415 J100: The Liberal Tradition & Its Critics","Credit",,"AKMCKENZ",0,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:09
"Event Bookings","by Space","Tuesday, January 26, 2016 - Wednesday, January 27, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Tuesday, January 26, 2016","Lab 1350","14:30 - 16:30","#83594: ","Researching and Writing your Literature Review","Internal","MECS","KEB10",20,"14:30 - 16:30","Lab 1350","#83594: ","Researching and Writing your Literature Review","Internal","MECS","KEB10",20,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:09
"Event Bookings","by Space","Tuesday, January 26, 2016 - Wednesday, January 27, 2016",,"Space","Start - End","Event","Booking Status","MECS Contact","Booked By","Attend","Start - End","Space","Event","Booking Status","MECS Contact","Booked By","Attend","Tuesday, January 26, 2016","1400-1410","07:00 - 13:00","#83592: ","Ministry of Finance – FINtastic: New Employee Orientation","Contract Rcv","Ariel","RAM4",60,"07:00 - 13:00","1400-1410","#83592: ","Ministry of Finance – FINtastic: New Employee Orientation","Contract Rcv","Ariel","RAM4",60,"sfu_event_bookings.rpt","Page  1 of 1","January 23, 2016",15:09
