Harbour Centre,Jan-23-16,Page 1 of 1,15:07,Daily Resources by Setup Time,"Tuesday, January 26, 2016 - Wednesday, January 27, 2016",Audio/Visual Services,Caterer: Unknown,"Tuesday, January 26, 2016",Start,End,Space,Function / Event,Attend /MECS Contact, 7:00,13:00,Rooms 1400-1410,Single Wireless Internet Connection,0,PPL,   Onsite: Norma Louden 250-216-4867,#83592 Ministry of Finance ﾖ FINtastic: New Employee Orientation,Ariel,Audio/Visual Services:,,,1,EA,Wireless Internet Connection,,,1,EA,Wireless Internet Connection,sfu_daily_ops_res_start_time.rpt
Harbour Centre,Jan-23-16,Page 1 of 1,15:07,Daily Resources by Setup Time,"Tuesday, January 26, 2016 - Wednesday, January 27, 2016",Audio/Visual Services,Caterer: Unknown,"Tuesday, January 26, 2016",Start,End,Space,Function / Event,Attend /MECS Contact, 7:00,13:00,Rooms 1400-1410,Room Set & AV,60,PPL,   Onsite: Norma Louden 250-216-4867,#83592 Ministry of Finance ﾖ FINtastic: New Employee Orientation,Ariel,Audio/Visual Services:,,,1,EA,Data Projector,,,1,EA,Data Projector,sfu_daily_ops_res_start_time.rpt
Harbour Centre,Jan-23-16,Page 1 of 1,15:07,Daily Resources by Setup Time,"Tuesday, January 26, 2016 - Wednesday, January 27, 2016",Audio/Visual Services,Caterer: Unknown,"Tuesday, January 26, 2016",Start,End,Space,Function / Event,Attend /MECS Contact, 7:00,13:00,Rooms 1400-1410,Room Set & AV,60,PPL,   Onsite: Norma Louden 250-216-4867,#83592 Ministry of Finance ﾖ FINtastic: New Employee Orientation,Ariel,Audio/Visual Services:,,,1,EA,Podium Microphone,,,1,EA,Podium Microphone,sfu_daily_ops_res_start_time.rpt
Harbour Centre,Jan-23-16,Page 1 of 1,15:07,Daily Resources by Setup Time,"Tuesday, January 26, 2016 - Wednesday, January 27, 2016",Audio/Visual Services,Caterer: Unknown,"Tuesday, January 26, 2016",Start,End,Space,Function / Event,Attend /MECS Contact, 7:00,13:00,Rooms 1400-1410,Room Set & AV,60,PPL,   Onsite: Norma Louden 250-216-4867,#83592 Ministry of Finance ﾖ FINtastic: New Employee Orientation,Ariel,Audio/Visual Services:,,,1,EA,Wireless Microphone - Handheld,,,1,EA,Wireless Microphone - Handheld,sfu_daily_ops_res_start_time.rpt
Harbour Centre,Jan-23-16,Page 1 of 1,15:07,Daily Resources by Setup Time,"Tuesday, January 26, 2016 - Wednesday, January 27, 2016",Audio/Visual Services,Caterer: Unknown,"Tuesday, January 26, 2016",Start,End,Space,Function / Event,Attend /MECS Contact, 8:00,17:00,Room 2200,Audio Visual,10,PPL,,#83458 *VC* BCNET,MECS,Audio/Visual Services:,,,1,EA,Data Projector,,,1,EA,Data Projector,sfu_daily_ops_res_start_time.rpt
Harbour Centre,Jan-23-16,Page 1 of 1,15:07,Daily Resources by Setup Time,"Tuesday, January 26, 2016 - Wednesday, January 27, 2016",Audio/Visual Services,Caterer: Unknown,"Tuesday, January 26, 2016",Start,End,Space,Function / Event,Attend /MECS Contact, 8:00,17:00,Room 2200,Audio Visual,10,PPL,,#83458 *VC* BCNET,MECS,Audio/Visual Services:,,,1,EA,Internal Videoconference - BlueJeans,,,1,EA,Internal Videoconference - BlueJeans,sfu_daily_ops_res_start_time.rpt
Harbour Centre,Jan-23-16,Page 1 of 1,15:07,Daily Resources by Setup Time,"Tuesday, January 26, 2016 - Wednesday, January 27, 2016",Audio/Visual Services,Caterer: Unknown,"Tuesday, January 26, 2016",Start,End,Space,Function / Event,Attend /MECS Contact, 8:00,17:00,Room 7000,Room Set / AV,59,PPL,   Onsite: Dagmar Zanic,#82449 Manning Elliott Chartered Accountants,Rachel,Audio/Visual Services:,,,1,EA,Setup Room Screen,,,1,EA,Setup Room Screen,sfu_daily_ops_res_start_time.rpt
Harbour Centre,Jan-23-16,Page 1 of 1,15:07,Daily Resources by Setup Time,"Tuesday, January 26, 2016 - Wednesday, January 27, 2016",Audio/Visual Services,Caterer: Unknown,"Tuesday, January 26, 2016",Start,End,Space,Function / Event,Attend /MECS Contact, 8:00,17:00,Room 7000,Room Set / AV,59,PPL,   Onsite: Dagmar Zanic,#82449 Manning Elliott Chartered Accountants,Rachel,Audio/Visual Services:,,,1,EA,VGA Ext. Cable & A/V Cart,,,1,EA,VGA Ext. Cable & A/V Cart,sfu_daily_ops_res_start_time.rpt
Harbour Centre,Jan-23-16,Page 1 of 1,15:07,Daily Resources by Setup Time,"Tuesday, January 26, 2016 - Wednesday, January 27, 2016",Audio/Visual Services,Caterer: Unknown,"Tuesday, January 26, 2016",Start,End,Space,Function / Event,Attend /MECS Contact, 8:30,12:20,Room 1530,Class - no signage,0,PPL,,#82551 CMNS 348: Globalization and Media,,Audio/Visual Services:,,,1,EA,"Computer - PC, with Internet Connection",,,1,EA,"Computer - PC, with Internet Connection",sfu_daily_ops_res_start_time.rpt
Harbour Centre,Jan-23-16,Page 1 of 1,15:07,Daily Resources by Setup Time,"Tuesday, January 26, 2016 - Wednesday, January 27, 2016",Audio/Visual Services,Caterer: Unknown,"Tuesday, January 26, 2016",Start,End,Space,Function / Event,Attend /MECS Contact, 8:30,12:20,Room 1530,Class - no signage,0,PPL,,#82551 CMNS 348: Globalization and Media,,Audio/Visual Services:,,,1,EA,Data Projector,,,1,EA,Data Projector,sfu_daily_ops_res_start_time.rpt
